forward_periods,threshold_pct,min_profit_pct,min_risk_reward_ratio,max_hold_periods,total_samples,long_count,short_count,hold_count,long_pct,short_pct,hold_pct,signal_pct,balance_ratio,symbol,config_name
6,0.8,0.8,2.5,48,4311,681,751,2879,15.796798886569242,17.420552076084437,66.78264903734632,33.217350962653676,0.9067909454061251,BTCUSDT,Вариант 1: Строгие (цель 15-20%)
5,0.7,0.7,2.2,48,4312,697,761,2854,16.164192949907235,17.648423005565864,66.1873840445269,33.8126159554731,0.9159001314060446,BTCUSDT,Вариант 2: Умеренно строгие (цель 20-25%)
4,0.6,0.6,2.0,48,4313,716,774,2823,16.600973800139116,17.945745420820774,65.45328077904011,34.546719220959886,0.9250645994832042,BTCUSDT,Вариант 3: Средние строгие (цель 18-22%)
5,0.75,0.75,2.3,48,4312,641,703,2968,14.865491651205936,16.303339517625233,68.83116883116884,31.16883116883117,0.9118065433854907,BTCUSDT,Вариант 4: Компромиссные (цель 15-18%)
6,1.0,1.0,3.0,48,4311,494,598,3219,11.459058223150082,13.871491533286939,74.66945024356298,25.33054975643702,0.8260869565217391,BTCUSDT,Вариант 5: Очень строгие (цель 10-15%)
6,0.8,0.8,2.5,48,4311,987,1063,2261,22.89491997216423,24.657852006495013,52.447228021340756,47.552771978659244,0.9285042333019755,ETHUSDT,Вариант 1: Строгие (цель 15-20%)
5,0.7,0.7,2.2,48,4312,1017,1064,2231,23.58534322820037,24.675324675324674,51.73933209647495,48.26066790352505,0.9558270676691729,ETHUSDT,Вариант 2: Умеренно строгие (цель 20-25%)
4,0.6,0.6,2.0,48,4313,1035,1077,2201,23.997217713888244,24.97101785300255,51.0317644331092,48.9682355668908,0.9610027855153204,ETHUSDT,Вариант 3: Средние строгие (цель 18-22%)
5,0.75,0.75,2.3,48,4312,969,1021,2322,22.4721706864564,23.678107606679035,53.849721706864564,46.150278293135436,0.9490695396669931,ETHUSDT,Вариант 4: Компромиссные (цель 15-18%)
6,1.0,1.0,3.0,48,4311,832,899,2580,19.299466481094875,20.853630248202272,59.84690327070285,40.15309672929715,0.9254727474972191,ETHUSDT,Вариант 5: Очень строгие (цель 10-15%)
6,0.8,0.8,2.5,48,4311,1204,1253,1854,27.928554859661332,29.06518209232197,43.0062630480167,56.9937369519833,0.9608938547486033,SOLUSDT,Вариант 1: Строгие (цель 15-20%)
5,0.7,0.7,2.2,48,4312,1221,1267,1824,28.316326530612244,29.383116883116884,42.30055658627087,57.69944341372912,0.9636937647987371,SOLUSDT,Вариант 2: Умеренно строгие (цель 20-25%)
4,0.6,0.6,2.0,48,4313,1266,1303,1744,29.353118479016928,30.21099003014143,40.43589149084164,59.56410850915835,0.9716039907904835,SOLUSDT,Вариант 3: Средние строгие (цель 18-22%)
5,0.75,0.75,2.3,48,4312,1164,1224,1924,26.99443413729128,28.385899814471244,44.61966604823748,55.38033395176253,0.9509803921568627,SOLUSDT,Вариант 4: Компромиссные (цель 15-18%)
6,1.0,1.0,3.0,48,4311,1008,1085,2218,23.382045929018787,25.1681744374855,51.44977963349571,48.55022036650429,0.9290322580645162,SOLUSDT,Вариант 5: Очень строгие (цель 10-15%)
6,0.8,0.8,2.5,48,4311,1171,1351,1789,27.1630712131756,31.33843655764324,41.49849222918117,58.50150777081884,0.8667653589933383,ADAUSDT,Вариант 1: Строгие (цель 15-20%)
5,0.7,0.7,2.2,48,4312,1218,1379,1715,28.246753246753247,31.980519480519483,39.77272727272727,60.22727272727273,0.883248730964467,ADAUSDT,Вариант 2: Умеренно строгие (цель 20-25%)
4,0.6,0.6,2.0,48,4313,1222,1365,1726,28.332946904706702,31.64850452121493,40.018548574078366,59.98145142592163,0.8952380952380953,ADAUSDT,Вариант 3: Средние строгие (цель 18-22%)
5,0.75,0.75,2.3,48,4312,1170,1306,1836,27.133580705009276,30.287569573283857,42.57884972170686,57.42115027829313,0.8958652373660031,ADAUSDT,Вариант 4: Компромиссные (цель 15-18%)
6,1.0,1.0,3.0,48,4311,1025,1182,2104,23.776385989329622,27.41823242867084,48.805381581999534,51.19461841800046,0.8671742808798646,ADAUSDT,Вариант 5: Очень строгие (цель 10-15%)
6,0.8,0.8,2.5,48,4311,947,945,2419,21.967061006726976,21.920668058455114,56.11227093481791,43.88772906518209,1.0021164021164022,BNBUSDT,Вариант 1: Строгие (цель 15-20%)
5,0.7,0.7,2.2,48,4312,991,968,2353,22.982374768089052,22.448979591836736,54.56864564007421,45.43135435992579,1.0237603305785123,BNBUSDT,Вариант 2: Умеренно строгие (цель 20-25%)
4,0.6,0.6,2.0,48,4313,1004,970,2339,23.278460468351494,22.490146070020867,54.23139346162764,45.76860653837237,1.0350515463917527,BNBUSDT,Вариант 3: Средние строгие (цель 18-22%)
5,0.75,0.75,2.3,48,4312,930,928,2454,21.567717996289424,21.521335807050093,56.91094619666048,43.08905380333952,1.0021551724137931,BNBUSDT,Вариант 4: Компромиссные (цель 15-18%)
6,1.0,1.0,3.0,48,4311,749,770,2792,17.37415912781257,17.86128508466713,64.7645557875203,35.235444212479706,0.9727272727272728,BNBUSDT,Вариант 5: Очень строгие (цель 10-15%)
6,0.8,0.8,2.5,48,4311,1038,1196,2077,24.07794015309673,27.742983066573878,48.17907678032939,51.82092321967061,0.8678929765886287,XRPUSDT,Вариант 1: Строгие (цель 15-20%)
5,0.7,0.7,2.2,48,4312,1064,1213,2035,24.675324675324674,28.130797773654916,47.19387755102041,52.806122448979586,0.877164056059357,XRPUSDT,Вариант 2: Умеренно строгие (цель 20-25%)
4,0.6,0.6,2.0,48,4313,1083,1220,2010,25.11013215859031,28.286575469510783,46.60329237189891,53.39670762810109,0.8877049180327868,XRPUSDT,Вариант 3: Средние строгие (цель 18-22%)
5,0.75,0.75,2.3,48,4312,1009,1157,2146,23.399814471243044,26.832096474953616,49.76808905380334,50.231910946196656,0.8720829732065687,XRPUSDT,Вариант 4: Компромиссные (цель 15-18%)
6,1.0,1.0,3.0,48,4311,850,997,2464,19.717003015541636,23.126884713523545,57.15611227093482,42.84388772906518,0.8525576730190572,XRPUSDT,Вариант 5: Очень строгие (цель 10-15%)
